date,home_team,away_team,home_score,away_score,neutral,result,home_hist_pts,home_rank_pos,away_hist_pts,away_rank_pos,result_binary,home_perf_pts,away_perf_pts,home_form,away_form,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,dif_points,dif_form,dif_ranking_pos,dif_gf,dif_ga
1872-11-30,Scotland,England,0,0,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1873-03-08,England,Scotland,4,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1874-03-07,Scotland,England,2,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,-2.0,0.0,-1.0,1.0
1875-03-06,England,Scotland,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,1.5,1.5,2.5,2.0,2.0,2.5,0.0,0.0,0.0,0.5,-0.5
1876-03-04,Scotland,England,3,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,0.0,2.0,1.5,1.5,2.0,0.0,2.0,0.0,0.5,-0.5
1876-03-25,Scotland,Wales,4,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,1.0,2.5,1.0,1.0,1.0,0.0,1.0,0.0,1.5,0.0
1877-03-03,England,Scotland,1,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.3333333333333335,1.0,3.0,2.5,0.6666666666666666,0.0,-2.3333333333333335,0.0,-2.0,1.8333333333333335
1877-03-05,Wales,Scotland,0,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.5,0.0,3.0,4.0,0.75,0.0,-2.5,0.0,-3.0,3.25
1878-03-02,Scotland,England,7,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.0,3.0,0.5,0.25,3.0,0.0,3.0,0.0,2.5,-2.75
1878-03-23,Scotland,Wales,9,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.0,4.0,0.0,0.75,3.0,0.0,3.0,0.0,4.0,-2.25
1879-01-18,England,Wales,2,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,0.0,1.5,0.0,5.0,5.5,0.0,0.0,0.0,1.5,-0.5
1879-04-05,England,Scotland,5,4,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.5,3.0,2.0,8.0,4.0,1.0,0.0,-1.5,0.0,-6.0,3.0
1879-04-07,Wales,Scotland,0,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.0,0.5,6.666666666666667,5.5,2.3333333333333335,0.0,-2.0,0.0,-6.166666666666667,3.1666666666666665
1880-03-13,Scotland,England,5,4,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,3.0,5.333333333333333,3.5,1.6666666666666667,2.5,0.0,-1.0,0.0,1.833333333333333,-0.8333333333333333
1880-03-15,Wales,England,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.0,0.3333333333333333,3.6666666666666665,4.666666666666667,3.3333333333333335,0.0,-2.0,0.0,-3.333333333333333,1.3333333333333335
1880-03-27,Scotland,Wales,5,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,0.0,4.0,1.0,3.0,2.6666666666666665,0.0,2.0,0.0,3.0,0.3333333333333335
1881-02-26,England,Wales,0,1,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,2.0,0.0,4.0,1.0,3.6666666666666665,3.6666666666666665,0.0,2.0,0.0,3.0,0.0
1881-03-12,England,Scotland,1,6,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.5,2.25,3.0,4.25,3.0,2.5,0.0,-0.75,0.0,-1.25,0.5
1881-03-14,Wales,Scotland,1,5,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.75,2.4,1.0,4.6,2.75,2.2,0.0,-1.65,0.0,-3.5999999999999996,0.5499999999999998
1882-02-18,Northern Ireland,England,0,13,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,0.75,1.0,2.0,1.0,3.5,0.0,0.25,0.0,-1.0,-2.5
1882-02-25,Wales,Northern Ireland,7,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.75,0.0,1.25,0.0,3.25,13.0,0.0,0.75,0.0,1.25,-9.75
1882-03-11,Scotland,England,5,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,1.2,5.25,4.2,1.75,2.8,0.0,1.8,0.0,1.0499999999999998,-1.0499999999999998
1882-03-13,Wales,England,5,3,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.2,1.0,2.4,3.6666666666666665,2.8,3.1666666666666665,0.0,0.19999999999999996,0.0,-1.2666666666666666,-0.3666666666666667
1882-03-25,Scotland,Wales,5,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,1.8,5.25,3.0,1.0,2.8,0.0,1.2,0.0,2.25,-1.7999999999999998
1883-02-03,England,Wales,5,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.6,1.8,3.6,2.8,3.4,2.8,0.0,-1.2000000000000002,0.0,0.8000000000000003,0.6000000000000001
1883-02-24,England,Northern Ireland,7,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.0,0.0,3.8333333333333335,0.5,2.8333333333333335,10.0,0.0,1.0,0.0,3.3333333333333335,-7.166666666666666
1883-03-10,England,Scotland,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.5,3.0,5.0,5.25,2.6666666666666665,0.75,0.0,-1.5,0.0,-0.25,1.9166666666666665
1883-03-12,Wales,Scotland,0,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.2,3.0,2.6,4.8,3.8,1.0,0.0,-1.8,0.0,-2.1999999999999997,2.8
1883-03-17,Northern Ireland,Wales,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.0,1.2,0.3333333333333333,2.4,9.0,3.4,0.0,-1.2,0.0,-2.0666666666666664,5.6
1884-01-26,Northern Ireland,Scotland,0,5,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,3.0,0.5,4.0,7.0,0.75,0.0,-3.0,0.0,-3.5,6.25
1884-02-09,Wales,Northern Ireland,6,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.1666666666666667,0.0,2.1666666666666665,0.4,3.0,6.6,0.0,1.1666666666666667,0.0,1.7666666666666666,-3.5999999999999996
1884-02-23,Northern Ireland,England,1,8,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,1.2,0.4,3.6,5.2,2.6,0.0,-1.2,0.0,-3.2,2.6
1884-03-15,Scotland,England,1,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,2.25,4.0,5.5,0.5,1.0,0.0,0.75,0.0,-1.5,-0.5
1884-03-17,Wales,England,0,4,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.8,1.8,1.4,4.4,2.8,1.0,0.0,-1.0,0.0,-3.0000000000000004,1.7999999999999998
1884-03-29,Scotland,Wales,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.8,3.0,1.4,0.5,2.6,0.0,2.2,0.0,1.6,-2.1
1885-02-28,England,Northern Ireland,4,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.5,0.0,3.5,0.5,1.25,5.0,0.0,1.5,0.0,3.0,-3.75
1885-03-14,England,Wales,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,2.25,1.0,4.0,2.0,0.5,2.25,0.0,1.25,0.0,2.0,-1.75
1885-03-14,Scotland,Northern Ireland,8,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.0,3.3333333333333335,0.4,0.3333333333333333,4.8,0.0,3.0,0.0,2.9333333333333336,-4.466666666666667
1885-03-21,England,Scotland,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,1.8,3.0,3.4,4.5,0.6,0.75,0.0,-1.2,0.0,-1.1,-0.15000000000000002
1885-03-23,Wales,Scotland,1,8,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,2.6,2.0,3.8,2.25,0.8,0.0,-1.6,0.0,-1.7999999999999998,1.45
1885-04-11,Northern Ireland,Wales,2,8,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,0.8,0.6,1.8,6.2,3.4,0.0,-0.8,0.0,-1.2000000000000002,2.8000000000000003
1885-11-28,United States,Canada,0,1,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1886-02-27,Wales,Northern Ireland,5,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.8,0.0,2.2,1.3333333333333333,3.8,6.666666666666667,0.0,0.8,0.0,0.8666666666666669,-2.866666666666667
1886-03-13,Northern Ireland,England,1,6,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,1.2,1.0,2.0,6.25,0.6,0.0,-1.2,0.0,-1.0,5.65
1886-03-20,Northern Ireland,Scotland,2,7,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.5,1.0,5.25,6.2,1.25,0.0,-2.5,0.0,-4.25,4.95
1886-03-27,Scotland,England,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,2.6,1.5,5.6,3.0,1.4,0.75,0.0,1.1,0.0,2.5999999999999996,0.6499999999999999
1886-03-29,Wales,England,1,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.4,1.4,3.2,2.6,3.0,0.8,0.0,0.0,0.0,0.6000000000000001,2.2
1886-04-10,Scotland,Wales,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,1.4,5.0,3.2,1.4,2.8,0.0,0.6000000000000001,0.0,1.7999999999999998,-1.4
1886-11-25,United States,Canada,3,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,-3.0,0.0,-1.0,1.0
