home_team_id,away_team_id,result
5,117,1
94,31,1
114,2,0
58,136,0
127,21,1
34,70,2
209,193,1
5,114,0
117,2,2
94,74,0
58,127,0
136,21,0
34,209,0
70,193,1
5,2,1
117,114,0
31,74,2
58,21,0
136,127,0
34,193,1
70,209,2
5,74,2
94,2,2
58,34,0
209,136,1
2,58,2
74,136,0
136,2,0
74,58,2
173,121,1
202,69,1
8,136,0
60,200,1
174,76,0
2,170,2
73,11,0
165,74,2
93,146,1
96,34,0
131,53,0
27,137,0
94,150,1
133,169,1
84,40,2
173,202,2
176,181,2
8,174,0
69,121,2
76,136,0
60,2,1
73,165,2
170,200,1
34,53,2
74,11,1
131,96,0
27,94,0
93,133,1
169,146,2
40,181,0
150,137,0
176,84,0
76,8,2
121,202,2
136,174,1
173,69,0
11,165,0
74,73,2
170,60,2
200,2,0
34,131,2
53,96,2
146,133,1
169,93,0
40,176,2
137,94,2
150,27,1
181,84,1
202,174,0
200,74,2
8,121,0
73,60,0
27,40,0
131,169,0
146,96,1
176,150,0
131,27,0
202,74,1
8,73,2
146,176,2
202,131,2
73,176,2
202,73,2
131,176,2
63,66,0
92,118,0
4,155,2
9,153,2
19,73,2
60,30,0
63,93,2
66,165,2
69,18,2
76,72,1
87,140,2
98,194,2
104,47,2
109,176,2
110,163,1
111,25,2
122,68,0
124,207,0
150,50,1
154,1,1
161,131,2
169,138,0
170,139,2
180,86,0
1,111,0
12,98,0
18,154,1
25,69,2
30,124,2
47,76,1
51,110,2
53,87,0
72,92,1
73,13,0
86,122,0
153,4,0
93,66,0
138,9,1
118,104,2
131,68,0
140,150,0
155,169,2
163,109,0
165,170,1
180,161,0
181,60,2
194,19,0
1,25,1
4,138,2
9,169,0
12,13,0
50,140,2
51,163,0
72,118,0
73,194,0
76,104,0
86,161,0
153,155,2
98,19,2
111,18,1
122,131,2
124,181,0
139,93,1
150,53,0
165,63,2
170,66,0
176,110,0
207,30,2
69,154,0
92,47,2
9,4,0
13,194,0
18,1,0
19,12,1
53,50,0
60,124,1
63,170,2
66,139,1
68,86,2
69,111,0
76,92,0
87,150,2
93,165,0
98,73,2
104,72,1
109,51,2
138,155,2
131,180,0
161,122,2
163,176,2
169,153,1
181,207,0
47,118,0
68,161,0
152,203,2
101,41,2
96,97,1
162,182,2
88,11,2
174,15,0
91,90,2
137,199,1
152,41,0
203,101,0
97,162,0
182,96,2
11,174,1
15,88,0
90,137,0
199,91,2
41,203,1
152,101,0
97,182,0
162,96,2
11,15,0
174,88,0
91,137,0
199,90,2
152,96,2
203,97,0
11,91,0
90,174,2
96,174,1
203,11,2
203,174,2
11,96,2
12,19,2
86,131,2
111,69,2
165,139,0
170,93,2
176,51,0
1,18,0
4,169,2
9,155,1
25,154,0
30,181,1
50,87,1
72,47,0
73,98,0
153,138,0
92,104,0
118,76,2
140,53,1
207,60,2
19,13,0
51,109,0
63,165,1
92,72,0
110,176,2
131,86,0
139,170,1
154,111,0
180,122,0
194,12,0
12,73,2
18,69,1
19,194,1
47,72,0
66,170,2
93,63,0
98,13,0
109,110,0
122,180,2
154,25,0
161,68,2
60,181,1
76,118,0
87,53,2
104,92,2
138,153,2
124,30,1
150,140,0
155,9,0
169,4,0
13,73,2
18,111,0
25,1,0
66,63,0
161,86,2
180,68,0
125,20,2
0,143,2
16,142,0
33,103,0
115,185,0
123,128,0
130,189,0
177,148,1
206,112,0
8,24,1
42,46,0
130,189,0
196,14,2
27,205,1
128,123,0
103,33,0
112,206,2
142,16,1
143,0,1
146,57,1
148,177,0
201,28,0
185,115,0
40,121,0
202,147,1
8,42,1
24,46,2
10,158,0
56,6,0
147,121,0
202,40,1
14,196,0
27,146,1
205,57,0
28,201,2
42,24,0
56,6,0
8,46,0
40,147,0
158,10,0
202,121,0
27,57,0
146,205,1
8,202,1
42,147,2
20,125,0
27,146,1
40,205,2
147,202,2
146,205,1
41,103,0
90,116,0
91,208,0
97,130,0
101,148,0
105,16,0
141,128,0
147,205,0
152,206,0
162,85,0
168,115,0
182,186,2
188,143,0
195,89,1
199,88,0
203,102,0
202,146,0
16,105,0
128,141,2
85,162,2
88,199,1
89,195,0
102,203,2
103,41,2
115,168,1
116,90,2
130,97,1
143,188,1
148,101,2
186,182,0
206,152,0
208,91,1
139,66,0
1,69,2
4,9,2
7,49,0
11,188,0
13,19,1
15,152,1
18,25,2
30,60,2
35,158,0
41,168,0
50,150,2
55,134,2
59,56,0
66,93,2
68,122,0
72,104,2
73,12,0
77,20,2
82,17,0
83,201,0
86,180,0
90,89,0
91,97,2
153,169,1
92,76,2
96,137,0
174,105,0
110,109,1
111,154,2
118,47,2
131,161,0
139,165,2
140,87,0
141,162,1
155,138,0
170,63,2
157,151,1
179,37,0
186,203,2
192,22,0
194,98,0
199,101,2
207,124,0
79,159,0
163,51,1
12,194,1
13,98,0
17,192,2
20,79,2
25,18,0
37,59,2
47,92,0
49,83,2
53,140,0
56,179,1
60,207,0
63,139,0
68,131,2
82,22,0
87,50,0
89,15,2
93,170,0
97,41,0
137,186,0
101,174,1
104,76,1
105,199,0
111,1,0
138,4,0
118,72,1
122,86,2
134,144,2
151,35,2
